operation,iteration,time
data_loading,1,4.958573818206787
document_preprocessing,1,0.2724182605743408
document_preparation,1,32.13897085189819
model_initialization,1,2.737034320831299
umap_init,1,9.393692016601562e-05
bertopic_init,1,0.0014379024505615234
model_fitting,1,236.55262303352356
topic_extraction,1,0.01847243309020996
coherence_calculation,1,449.86051535606384
process_topic_-1,1,0.0010395050048828125
individual_topic_coherence,1,92.26781368255615
individual_topic_coherence,2,55.582523584365845
individual_topic_coherence,3,56.44697546958923
individual_topic_coherence,4,55.4612455368042
individual_topic_coherence,5,56.24432611465454
individual_topic_coherence,6,56.474268436431885
individual_topic_coherence,7,56.600670337677
individual_topic_coherence,8,53.2180871963501
individual_topic_coherence,9,54.532445192337036
individual_topic_coherence,10,54.79451775550842
individual_topic_coherence,11,53.13764047622681
individual_topic_coherence,12,54.53983950614929
individual_topic_coherence,13,54.62287902832031
individual_topic_coherence,14,54.64854431152344
individual_topic_coherence,15,54.92637348175049
individual_topic_coherence,16,57.04436111450195
individual_topic_coherence,17,57.75528573989868
individual_topic_coherence,18,54.542829751968384
individual_topic_coherence,19,55.51918005943298
individual_topic_coherence,20,55.0464563369751
process_topic_0,1,92.26956915855408
process_topic_1,1,55.58418655395508
process_topic_2,1,56.44858717918396
process_topic_3,1,55.46272134780884
process_topic_4,1,56.24587082862854
process_topic_5,1,56.476497650146484
process_topic_6,1,56.60235667228699
process_topic_7,1,53.21962523460388
process_topic_8,1,54.53413486480713
process_topic_9,1,54.79636359214783
process_topic_10,1,53.13922619819641
process_topic_11,1,54.54158806800842
process_topic_12,1,54.624568939208984
process_topic_13,1,54.65014314651489
process_topic_14,1,54.92806553840637
process_topic_15,1,57.04601001739502
process_topic_16,1,57.75679588317871
process_topic_17,1,54.54433631896973
process_topic_18,1,55.520785093307495
process_topic_19,1,55.04799151420593
topic_analysis,1,1143.4571573734283
save_results,1,1143.4646015167236
