n_neighbours,num_topics,coherence_score,training_time
15,228,0.530536133906915,139.2404546737671
65,179,0.5412885350344308,155.73146152496338
115,162,0.5422475616858743,179.16604137420654
165,146,0.5464949348418086,198.70529651641846
215,143,0.5293788117938255,215.4616663455963
265,150,0.5214183840476087,227.34660601615906
315,136,0.5278427894650911,245.90393161773682
365,149,0.5373225983599917,264.55422854423523
415,134,0.515078013152504,275.9953417778015
465,146,0.5416889830177113,281.29113578796387
515,140,0.5240273425310014,290.2410697937012
565,132,0.5392095238965231,298.800085067749
615,139,0.5377263217872609,331.3076720237732
665,140,0.5290195303965027,345.7228014469147
715,139,0.5411793800864874,358.7233054637909
765,132,0.5367290626118236,365.73766016960144
815,136,0.5371258767288527,376.2017617225647
865,138,0.5379525192424487,388.8227586746216
915,138,0.522600959666757,398.0809111595154
965,141,0.5333517131257154,408.9672336578369
