year,training_time
2000,4.441091545422872
2001,3.569469161828359
2002,3.922562619050344
2003,4.476729730765025
2004,4.180445913473765
2005,3.4492438276608786
2006,4.038523638248444
2007,3.8399621923764546
2008,4.329272135098775
2009,3.7406236569086713
2010,4.342148653666178
2011,4.4656372984250385
2012,4.6690694769223535
2013,4.917369472980499
2014,4.522077385584513
2015,4.565341154734294
2016,4.433267434438069
2017,4.302366964022318
2018,5.794936613241831
2019,4.6120044708251955
Average,4.330607167283693
